persona,Compassion for those who are suffering is the most crucial virtue.,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",I am proud of my country’s history.,Respect for authority is something all children need to learn.,"People should not do things that are disgusting, even if no one is harmed.",It is better to do good than to do bad.,One of the worst things a person could do is hurt a defenseless animal.,Justice is the most important requirement for a society.,"People should be loyal to their family members, even when they have done something wrong.",Men and women each have different roles to play in society.,I would call some acts wrong on the grounds that they are unnatural.,It can never be right to kill a human being.,I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,It is more important to be a team player than to express oneself.,"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",Chastity is an important and valuable virtue.
"cares slightly about the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",2,1,3,3,5,5,5,2,4,4,5,2,1,1,4,5
"cares slightly about the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",3,4,3,3,3,5,5,3,4,1,3,2,1,4,3,3
"cares slightly about the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,3,3,3,3,1,1,4,4,1,1,1,4,4,1
"cares slightly about the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",1,1,2,0,5,5,5,2,1,1,4,1,4,0,0,5
"cares slightly about the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",3,1,2,2,4,3,5,1,1,1,1,2,4,1,1,3
"cares slightly about the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,3,1,1,3,1,1,4,1,1,1,1,1,1,1
"cares slightly about the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",2,1,2,5,5,5,5,1,2,4,5,2,1,0,3,5
"cares slightly about the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",2,1,3,5,3,3,3,3,1,4,3,2,1,1,3,3
"cares slightly about the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,3,5,1,3,3,1,1,4,1,1,1,5,5,2
"cares slightly about the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",1,1,2,3,5,5,5,1,1,1,3,3,4,0,1,5
"cares slightly about the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",3,4,2,3,3,3,3,4,1,1,1,2,1,1,1,3
"cares slightly about the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,3,3,1,3,3,1,1,4,1,1,1,1,1,1
"cares slightly about the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",1,1,2,0,5,5,5,1,0,1,4,1,4,0,0,5
"cares slightly about the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",3,1,1,1,5,3,3,1,1,1,1,1,4,1,1,4
"cares slightly about the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
"cares slightly about the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",2,1,5,5,5,5,5,2,5,4,5,2,1,5,5,5
"cares slightly about the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",2,1,5,5,3,3,3,2,5,4,3,2,1,5,5,3
"cares slightly about the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,5,5,2,3,3,1,5,4,1,1,1,5,5,1
"cares slightly about the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",2,1,3,3,5,5,5,2,5,4,5,2,1,5,5,5
"cares slightly about the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",2,1,3,3,3,3,3,2,5,3,3,2,1,5,5,3
"cares slightly about the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,3,3,3,3,3,2,5,3,1,2,1,5,5,2
"cares slightly about the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",2,1,1,0,5,5,5,2,5,1,5,2,1,0,0,5
"cares slightly about the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",3,1,3,0,3,3,5,2,5,1,3,2,1,5,0,3
"cares slightly about the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,3,0,1,3,3,1,5,1,1,1,1,5,0,0
"cares slightly about the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",2,2,5,5,5,5,5,2,5,5,5,2,1,5,5,5
"cares slightly about the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",2,1,3,5,5,3,3,2,4,4,4,2,1,5,5,3
"cares slightly about the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,3,5,3,3,3,2,5,4,1,2,2,5,5,1
"cares slightly about the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",2,2,3,3,5,5,5,2,4,4,5,2,1,4,3,5
"cares slightly about the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",3,1,3,3,5,3,5,3,4,3,3,2,1,4,3,3
"cares slightly about the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,3,3,1,3,3,2,4,3,1,2,1,4,3,2
"cares slightly about the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",3,1,2,0,5,5,5,2,1,0,5,1,1,1,0,5
"cares slightly about the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",3,1,3,2,3,3,5,2,4,1,4,2,4,1,1,3
"cares slightly about the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,3,0,3,3,3,1,4,1,1,2,1,1,1,0
"cares slightly about the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",1,0,3,5,5,5,5,1,1,4,5,2,1,0,5,5
"cares slightly about the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",2,1,3,5,5,3,3,1,1,4,3,2,1,5,5,3
"cares slightly about the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",1,1,3,5,1,3,3,1,1,4,1,1,1,5,5,1
"cares slightly about the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",2,1,2,3,5,5,5,2,1,3,5,2,1,0,1,5
"cares slightly about the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",2,1,3,3,5,3,5,3,1,4,4,2,1,1,1,3
"cares slightly about the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",2,1,3,3,1,3,3,2,1,4,1,2,1,1,3,1
"cares slightly about the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",1,1,1,0,5,5,5,1,0,1,5,1,4,0,0,5
"cares slightly about the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",1,1,1,2,5,3,5,1,1,1,4,2,4,0,1,3
"cares slightly about the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
"is not concerned with the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,5,5,5,0,1,1,1,5,5,1,1,5,5,5
"is not concerned with the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,5,5,3,3,2,1,1,4,3,2,1,5,5,3
"is not concerned with the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,5,5,2,2,1,1,1,4,1,2,1,5,5,0
"is not concerned with the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,5,3,5,3,1,2,1,4,5,2,1,5,3,5
"is not concerned with the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,3,3,2,1,2,1,3,3,2,1,5,4,3
"is not concerned with the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,3,2,1,1,1,1,4,1,2,1,5,4,0
"is not concerned with the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,3,0,0,0,1,1,1,1,4,2,1,0,0,5
"is not concerned with the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",1,1,3,0,3,3,2,2,1,1,3,2,1,5,1,3
"is not concerned with the well-being of others, cares strongly about reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,4,0,2,0,1,1,1,1,1,1,1,0,0,0
"is not concerned with the well-being of others, cares strongly about reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,3,5,5,3,2,2,1,4,5,2,1,5,5,5
"is not concerned with the well-being of others, cares strongly about reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,5,3,2,1,2,1,4,3,2,1,5,5,3
"is not concerned with the well-being of others, cares strongly about reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,0,3,5,2,2,1,1,1,4,2,2,1,5,5,0
"is not concerned with the well-being of others, cares strongly about reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,3,3,5,0,2,2,2,3,5,2,1,0,3,5
"is not concerned with the well-being of others, cares strongly about reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,3,3,2,1,1,1,4,3,2,1,1,3,3
"is not concerned with the well-being of others, cares strongly about reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,3,3,2,1,1,1,4,1,1,1,4,3,0
"is not concerned with the well-being of others, cares strongly about reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,1,3,0,5,3,1,2,1,1,3,2,1,1,0,5
"is not concerned with the well-being of others, cares strongly about reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,2,3,3,1,1,1,1,3,2,1,1,1,3
"is not concerned with the well-being of others, cares strongly about reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,0,3,1,1,1,1,1,1,1,1,1,1,0
"is not concerned with the well-being of others, cares strongly about reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,3,5,5,3,1,1,1,4,5,1,1,0,1,5
"is not concerned with the well-being of others, cares strongly about reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,5,3,3,1,1,1,4,3,1,1,0,4,3
"is not concerned with the well-being of others, cares strongly about reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,5,3,1,1,1,1,4,1,1,1,1,1,0
"is not concerned with the well-being of others, cares strongly about reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,1,3,3,5,3,1,1,1,4,5,2,1,0,1,5
"is not concerned with the well-being of others, cares strongly about reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,3,3,3,1,1,1,4,1,1,1,1,1,1
"is not concerned with the well-being of others, cares strongly about reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,3,3,2,1,1,1,4,1,1,1,1,1,0
"is not concerned with the well-being of others, cares strongly about reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,1,1,0,5,1,1,1,1,1,4,1,1,0,0,4
"is not concerned with the well-being of others, cares strongly about reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,2,0,3,3,1,1,1,1,3,1,1,0,0,3
"is not concerned with the well-being of others, cares strongly about reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
"is not concerned with the well-being of others, cares slightly about reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,1,5,5,5,3,1,1,5,5,5,2,1,5,5,5
"is not concerned with the well-being of others, cares slightly about reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",2,1,5,5,3,3,2,2,5,4,3,2,1,5,5,3
"is not concerned with the well-being of others, cares slightly about reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,5,5,2,2,2,2,5,4,2,2,1,5,5,0
"is not concerned with the well-being of others, cares slightly about reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,1,5,3,5,3,3,2,5,3,5,2,1,5,5,5
"is not concerned with the well-being of others, cares slightly about reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",1,1,3,3,3,3,2,1,5,4,3,2,1,5,5,3
"is not concerned with the well-being of others, cares slightly about reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,3,3,2,2,1,4,4,2,2,1,5,5,0
"is not concerned with the well-being of others, cares slightly about reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,1,3,0,5,3,1,1,1,1,4,1,1,5,0,5
"is not concerned with the well-being of others, cares slightly about reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,2,3,3,2,2,1,1,3,2,1,5,1,3
"is not concerned with the well-being of others, cares slightly about reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,0,2,2,2,1,4,1,1,1,1,5,0,0
"is not concerned with the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,5,5,5,3,3,2,1,5,5,2,1,5,5,5
"is not concerned with the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,5,3,3,2,2,4,4,3,2,1,5,5,3
"is not concerned with the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,5,3,2,2,1,4,4,1,2,1,5,5,0
"is not concerned with the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,3,3,5,3,3,2,1,4,5,2,1,0,3,5
"is not concerned with the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,3,3,3,2,2,4,3,3,2,1,4,3,3
"is not concerned with the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",1,1,3,3,3,2,1,1,4,4,1,2,1,4,3,0
"is not concerned with the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,3,0,5,3,1,2,1,1,5,2,1,1,0,5
"is not concerned with the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",2,1,3,2,3,3,1,2,1,1,3,1,1,1,1,3
"is not concerned with the well-being of others, cares slightly about reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,0
"is not concerned with the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,1,3,5,5,3,3,1,1,5,5,1,1,0,5,5
"is not concerned with the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,5,3,3,2,1,1,4,3,2,1,0,5,3
"is not concerned with the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,5,3,2,1,1,1,4,1,1,1,0,5,0
"is not concerned with the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,1,3,3,5,3,1,1,1,4,5,2,1,0,1,5
"is not concerned with the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",1,1,3,3,3,3,1,1,1,4,3,2,1,1,1,3
"is not concerned with the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",1,1,3,3,3,3,1,1,1,4,1,1,1,1,1,1
"is not concerned with the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,1,0,5,1,1,1,1,1,5,2,1,0,0,5
"is not concerned with the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",1,1,1,0,3,3,1,1,1,1,4,1,1,0,0,3
"is not concerned with the well-being of others, cares slightly about reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"is not concerned with the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,5,5,5,3,1,1,5,5,5,2,1,5,5,5
"is not concerned with the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,5,5,3,3,2,2,5,4,3,2,1,5,5,3
"is not concerned with the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,5,5,2,0,1,1,5,4,1,2,1,5,5,0
"is not concerned with the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,5,3,5,0,3,2,1,4,5,2,1,5,5,5
"is not concerned with the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,5,3,3,2,2,1,5,4,3,2,1,5,5,3
"is not concerned with the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,5,3,2,2,1,1,5,4,1,1,1,5,5,0
"is not concerned with the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,4,0,5,2,1,1,1,1,5,0,1,0,0,4
"is not concerned with the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,0,3,0,3,2,1,1,0,1,3,1,1,5,1,3
"is not concerned with the well-being of others, is not concerned with reciprocity, cares strongly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,0,3,0,2,0,1,1,1,1,1,1,1,5,0,0
"is not concerned with the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,3,5,5,3,3,1,4,5,5,2,1,5,5,5
"is not concerned with the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,5,3,3,2,2,4,5,3,2,1,5,5,3
"is not concerned with the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,5,2,2,2,1,4,4,1,1,1,5,5,0
"is not concerned with the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,3,3,5,3,1,2,1,4,5,2,1,0,3,5
"is not concerned with the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,3,3,2,2,2,3,4,3,2,1,4,4,3
"is not concerned with the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,3,3,2,1,1,4,4,1,1,1,4,5,0
"is not concerned with the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,1,0,5,2,1,1,1,1,5,2,1,1,0,5
"is not concerned with the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,0,0,3,1,1,1,1,3,1,1,1,1,3
"is not concerned with the well-being of others, is not concerned with reciprocity, cares slightly about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,0,1,2,1,1,1,1,1,1,1,1,1,0
"is not concerned with the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,3,5,5,3,1,1,1,4,5,2,1,0,5,5
"is not concerned with the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,5,5,3,1,1,1,3,3,2,1,5,5,3
"is not concerned with the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares strongly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,5,2,0,1,1,1,3,1,1,1,0,5,1
"is not concerned with the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,3,3,5,3,3,2,1,3,5,2,1,0,1,5
"is not concerned with the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,3,3,3,3,1,1,1,3,3,2,1,0,3,3
"is not concerned with the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, cares slightly about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",0,1,3,3,3,1,1,1,1,4,1,1,1,1,3,1
"is not concerned with the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares strongly about moral purity or spiritual elevation",0,0,1,0,5,1,1,1,0,1,5,1,1,0,0,5
"is not concerned with the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares slightly about moral purity or spiritual elevation",0,1,1,0,0,2,1,1,1,1,4,2,1,0,0,3
"is not concerned with the well-being of others, is not concerned with reciprocity, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
